distance_m,approach_rate_mps,pitch,roll,accel_magnitude,gyro_magnitude,tilt_magnitude,visibility_m,humidity_percent,label
20.9,3.46,-5.31,10.02,1.274,0.3645,11.339,16.2,69.6,1
11.08,2.81,0.27,9.62,1.6797,0.5831,9.6206,8.1,85.6,2
60.16,0.37,4.62,4.21,0.2477,0.1296,6.2465,16.0,52.2,0
16.8,1.99,-9.67,-0.01,0.6166,0.3199,9.6721,17.9,59.7,1
26.93,1.41,5.69,1.69,0.5326,0.2542,5.9366,11.3,58.0,1
73.65,1.33,-0.65,3.44,0.1929,0.1886,3.4973,17.3,38.1,0
64.52,0.68,-0.63,0.57,0.3085,0.1976,0.8494,18.1,44.3,0
22.74,-0.7,4.36,1.62,0.5721,0.2452,4.6477,24.2,46.8,0
24.65,2.36,-0.97,-0.05,0.741,0.5179,0.9712,7.5,68.5,1
50.62,-0.89,-0.22,-2.57,0.311,0.0896,2.5771,19.3,51.4,0
12.63,1.3,3.96,-4.8,1.1724,0.6365,6.2231,9.1,56.5,1
14.22,2.05,19.32,-18.85,0.5573,0.9267,26.9974,4.1,71.0,3
23.17,0.61,-0.1,-0.11,0.5635,0.0734,0.148,24.4,36.3,0
57.82,0.78,4.82,-0.5,0.433,0.1187,4.8434,20.9,51.4,0
14.66,3.86,-3.07,4.59,1.0888,0.4427,5.525,8.7,81.4,1
53.63,0.79,-2.34,-3.38,0.4998,0.1907,4.1073,20.1,55.0,0
28.46,-0.48,2.22,-2.85,0.6909,0.0332,3.6084,23.3,30.9,0
5.98,5.7,-6.43,8.02,1.3851,1.1006,10.2846,10.0,84.9,2
23.66,4.0,-8.39,1.66,0.8465,0.3958,8.5497,7.8,59.0,1
10.52,1.14,-23.29,10.29,1.7103,1.8955,25.4623,11.6,67.2,3
38.06,-0.79,-3.21,-1.14,0.3288,0.1317,3.411,18.1,62.7,0
40.53,0.07,5.79,0.49,0.493,0.1314,5.8065,18.6,36.5,0
0.85,17.33,3.74,-2.02,2.8703,1.4205,4.2522,1.3,85.6,3
17.03,3.78,-4.32,1.61,0.5869,0.4297,4.6111,16.6,58.3,1
30.19,1.33,-0.95,0.81,0.2891,0.1921,1.2519,16.2,37.9,0
14.84,3.85,-10.01,-1.78,0.6065,1.3585,10.1702,5.3,80.9,2
60.34,0.46,2.61,-4.27,0.465,0.2245,4.9996,17.2,32.2,0
73.39,1.23,4.72,2.51,0.1329,0.2719,5.3468,17.4,46.7,0
19.47,2.24,-2.47,8.27,1.635,0.3874,8.6266,11.3,74.3,1
68.51,-0.73,-3.17,2.36,0.2755,0.2162,3.9497,23.1,60.7,0
36.48,1.44,4.55,0.39,0.5493,0.0623,4.5696,16.9,48.4,0
24.01,2.66,9.87,-1.74,1.1301,0.7522,10.0222,12.6,72.4,1
23.65,7.27,-10.47,-3.12,2.9256,2.7529,10.9284,4.4,77.3,2
5.44,15.7,-3.94,-3.05,3.1487,1.8346,4.9849,2.9,86.2,3
63.02,0.25,0.77,-0.84,0.2245,0.0601,1.1409,15.9,41.7,0
75.81,-0.02,-4.2,0.93,0.418,0.1774,4.3036,22.7,45.8,0
13.34,5.82,15.53,10.25,0.3812,0.858,18.6021,4.8,87.0,2
4.16,6.4,-9.54,-4.77,1.7802,1.1949,10.6702,3.5,73.4,2
38.66,-0.71,1.81,-0.84,0.2246,0.143,1.993,19.2,49.2,0
52.06,-0.88,-0.53,1.22,0.2101,0.2182,1.3298,16.8,43.0,0
29.01,1.17,1.71,2.85,0.2594,0.119,3.3176,16.3,37.1,0
6.41,5.09,7.74,-8.45,0.8182,1.2664,11.4589,8.2,85.5,2
5.05,6.3,-3.62,2.01,6.3567,1.2518,4.1397,6.7,76.2,2
0.65,18.08,-0.03,7.77,1.8068,0.5368,7.7668,2.2,91.0,3
4.8,11.43,-2.74,4.01,2.899,0.9182,4.8599,2.2,82.7,3
1.57,12.56,0.66,5.72,1.0447,2.3128,5.7592,5.0,82.8,3
27.88,2.15,-1.9,4.1,0.9211,0.5542,4.518,7.8,65.5,1
5.66,5.95,-13.17,-7.69,1.8227,0.9489,15.2509,4.2,77.4,2
36.24,1.49,1.09,2.51,0.2802,0.1432,2.7327,19.2,63.8,0
3.56,9.38,3.17,-2.44,1.2497,0.426,4.0026,2.9,96.7,3
5.28,13.5,-2.0,3.7,2.8435,1.4549,4.2012,5.0,85.0,3
10.29,5.84,-12.95,-1.61,1.1791,0.7541,13.0512,9.8,86.8,2
2.6,17.59,3.08,4.71,2.2526,0.9523,5.6259,1.7,94.2,3
12.88,3.41,-2.63,-0.73,0.9886,0.5103,2.7292,12.4,64.9,1
11.16,5.02,10.8,-1.17,1.8776,0.6469,10.8626,7.6,84.1,2
11.24,3.52,-2.14,-0.66,0.8111,0.2901,2.2391,7.4,64.0,1
26.74,3.92,2.13,-6.48,0.7288,0.1599,6.8209,10.8,80.5,1
69.77,0.35,2.17,-0.3,0.5818,0.1779,2.1867,19.0,34.4,0
70.34,-0.75,-3.66,-0.37,0.4279,0.1376,3.6796,17.0,41.2,0
7.9,4.46,-2.86,-1.45,0.936,1.3971,3.2074,4.7,84.4,2
19.67,2.1,-2.16,10.3,0.9188,0.6052,10.5265,11.1,63.7,1
7.22,4.85,1.91,0.38,0.8013,1.7614,1.9505,4.5,92.1,3
24.63,3.89,-1.29,-2.55,0.2748,0.4954,2.8529,9.1,72.2,1
75.84,-0.0,-1.99,-0.37,0.3079,0.2758,2.0276,20.5,47.4,0
17.87,7.29,-1.95,-11.22,2.7667,2.7841,11.3831,4.1,84.9,1
7.01,10.25,12.64,-2.96,2.6949,1.3061,12.9793,1.8,85.9,3
11.93,2.49,-4.76,9.76,1.2407,1.305,10.8538,3.4,86.9,2
32.05,0.55,1.4,1.26,0.2084,0.0619,1.8789,24.7,62.6,0
23.59,2.31,-6.18,-0.08,0.3508,0.5484,6.1768,11.1,78.8,1
6.44,5.3,3.06,-5.92,2.6835,0.4228,6.6671,5.3,94.3,3
24.96,3.98,4.57,-0.99,0.4027,0.3159,4.674,15.3,56.9,1
1.36,17.23,2.43,-3.13,4.125,0.8092,3.9606,1.9,95.6,3
24.43,3.85,-5.68,2.35,0.8483,0.6751,6.1434,16.3,66.2,1
6.78,10.9,2.22,2.45,1.2577,1.4868,3.3041,5.8,93.5,3
5.9,11.8,-3.2,0.36,2.0366,0.6908,3.2195,3.7,83.1,2
71.56,1.03,-3.13,-0.79,0.298,0.1693,3.2265,15.4,62.2,0
15.14,2.6,-20.08,2.8,0.569,0.9075,20.2718,3.9,73.0,2
69.6,0.61,2.27,-0.4,0.245,0.1635,2.31,21.6,43.0,0
6.66,3.74,-15.21,9.92,1.0883,0.5,18.1584,6.3,81.3,2
25.14,0.8,-4.2,0.24,0.559,0.0715,4.2084,21.9,40.7,0
26.58,-0.73,1.44,0.15,0.513,0.3122,1.4491,22.4,45.2,0
18.33,2.96,-2.96,-0.8,0.5251,0.2532,3.0637,9.1,81.0,1
9.87,6.35,1.16,5.73,0.4019,0.8282,5.8459,5.5,90.6,2
22.51,2.02,-1.07,-4.92,1.2862,0.428,5.0318,9.4,78.3,1
18.91,2.45,6.79,4.4,0.2704,0.5723,8.0911,7.7,72.9,1
12.15,7.24,1.32,-0.95,0.7566,0.4871,1.628,8.9,79.8,2
7.72,10.72,1.63,-4.27,1.9043,1.5271,4.5703,5.4,83.6,3
11.48,3.42,0.68,-4.32,0.54,0.2563,4.3784,9.1,81.2,1
28.09,1.34,-24.91,-13.39,1.1238,0.9942,28.2823,13.1,56.3,3
63.52,-0.77,-1.81,-3.79,0.5616,0.1803,4.1982,22.4,43.4,0
14.4,0.44,-28.47,-17.28,2.0738,1.5374,33.3077,5.7,78.9,3
5.72,11.64,-15.5,-0.2,0.3614,0.1247,15.5025,6.2,81.8,2
22.57,2.26,-13.2,-1.72,1.2874,0.838,13.3119,7.3,80.0,1
26.44,2.13,-2.41,-3.29,0.4274,0.1639,4.0825,7.4,65.2,1
31.97,-0.28,1.37,-0.78,0.3739,0.0717,1.5792,15.8,57.6,0
14.48,5.21,-6.82,-4.9,0.7513,1.1821,8.3986,7.0,83.1,2
20.87,2.65,3.58,-1.65,0.7144,0.5371,3.9409,14.0,64.9,1
20.58,1.08,0.01,0.88,0.6919,0.1416,0.8838,23.9,39.4,0
55.69,-0.52,-3.06,-1.39,0.7983,0.2291,3.3574,21.1,63.1,0
13.53,2.22,-7.27,-7.55,0.5987,0.4187,10.4829,14.3,81.0,1
5.46,12.76,15.72,6.16,0.4683,0.6006,16.8872,3.0,79.6,2
4.82,5.18,-0.13,4.87,1.7822,0.6603,4.8728,6.1,86.2,2
72.7,-0.84,3.5,3.58,0.2404,0.2827,5.0032,17.4,31.6,0
8.59,10.67,-7.49,3.29,1.7852,1.2365,8.1828,3.6,80.3,2
29.78,0.4,-1.88,2.82,0.2077,0.1951,3.39,16.8,54.1,0
21.71,1.05,4.83,-7.91,1.0409,0.4751,9.2693,16.7,73.5,1
13.2,2.78,-1.84,2.15,1.654,0.4705,2.8329,3.6,74.9,2
6.22,10.99,12.18,0.52,1.2773,1.4332,12.1933,3.2,94.2,3
5.48,3.35,-0.38,3.2,1.3432,0.6346,3.2191,9.9,79.3,2
59.76,1.12,1.2,-2.59,0.3795,0.1482,2.8521,24.7,55.8,0
23.23,2.83,0.65,-0.06,0.3621,0.3144,0.6479,15.6,62.8,1
73.49,0.53,-0.57,-2.33,0.4608,0.1259,2.3955,17.5,52.3,0
2.13,14.03,-10.75,1.65,2.2915,1.3188,10.8782,4.6,97.6,3
15.77,4.48,-2.56,4.39,0.8269,0.88,5.0804,4.8,78.0,2
44.42,-0.09,-0.6,-0.73,0.4855,0.2355,0.9411,20.2,59.0,0
24.24,3.92,2.16,-4.65,0.5276,0.4577,5.1311,9.3,76.7,1
14.17,7.82,-1.77,4.29,0.8483,1.1172,4.6352,9.7,76.9,2
18.63,2.77,-0.27,-1.33,0.1919,0.4209,1.3527,11.3,65.2,1
13.78,1.06,1.6,-7.16,0.4478,0.5951,7.3341,13.6,67.5,1
4.84,9.33,2.58,13.27,0.7723,0.8186,13.5163,1.9,90.4,3
24.41,0.62,-6.01,0.41,1.1454,0.7153,6.0231,10.2,75.1,1
25.73,0.88,-0.73,-0.58,0.5643,0.1934,0.9341,22.8,57.7,0
36.18,0.2,-1.24,0.41,0.6159,0.2417,1.3032,16.4,39.4,0
5.33,9.41,2.28,1.32,1.6033,1.4376,2.6392,5.6,94.1,3
31.28,-0.47,1.84,-2.94,0.6117,0.1387,3.468,20.1,34.7,0
66.48,-0.71,3.18,0.91,0.5806,0.1317,3.311,20.4,48.1,0
6.56,12.83,-4.23,-10.07,2.6468,0.5837,10.9201,3.1,93.7,3
70.08,-0.04,-1.67,-0.32,0.3073,0.2268,1.7022,20.0,59.0,0
42.93,0.39,-0.68,1.98,0.1417,0.1398,2.0976,17.7,38.2,0
21.4,0.49,4.19,3.42,0.6194,0.1696,5.412,20.8,59.1,0
37.69,-0.07,-1.93,3.18,0.3869,0.2078,3.723,16.1,38.5,0
51.55,0.58,1.43,-3.37,0.5471,0.2412,3.6621,20.0,43.6,0
39.56,0.14,-0.39,3.97,0.484,0.1214,3.9918,23.5,51.6,0
10.31,1.4,0.35,3.06,0.7872,0.5523,3.0788,17.3,62.2,1
7.76,12.31,1.69,-5.88,1.6646,0.5893,6.1198,2.0,88.7,3
4.7,8.16,-8.13,-2.01,1.4498,0.724,8.3707,4.0,74.9,2
5.13,6.15,4.56,-2.24,1.0228,1.2317,5.0838,3.7,92.3,3
19.46,1.01,-29.74,-21.67,1.5216,1.249,36.7935,6.2,73.1,3
49.01,-0.1,0.56,2.27,0.3166,0.0964,2.3375,19.7,45.9,0
23.06,3.13,-6.0,6.33,0.8846,0.5034,8.7204,6.8,59.4,1
28.93,-1.48,-2.45,-0.42,3.5005,1.5214,2.4882,7.7,85.0,1
9.94,7.61,3.67,-0.01,0.7244,0.323,3.6659,7.4,80.5,2
74.36,-0.13,-0.65,-3.66,0.2344,0.177,3.7183,21.6,36.2,0
37.62,-0.06,2.85,2.52,0.209,0.17,3.8095,15.8,48.6,0
3.24,15.67,3.27,5.82,1.3935,2.195,6.6705,2.0,96.5,3
31.91,-0.61,-4.83,-0.88,0.5603,0.1695,4.9106,24.4,31.3,0
10.71,-1.99,4.86,8.64,2.6575,0.9945,9.9147,3.3,80.6,1
55.42,0.78,0.82,2.1,0.5482,0.1109,2.2567,16.1,45.7,0
5.5,6.96,-4.24,-2.02,0.5992,0.3885,4.6943,8.6,77.4,2
56.87,-0.69,1.92,1.16,0.1191,0.1698,2.2441,15.6,40.1,0
18.67,2.18,-2.37,-1.56,0.4401,0.4357,2.8369,8.8,59.5,1
64.85,0.93,1.35,1.11,0.5303,0.186,1.7473,23.7,46.2,0
12.83,1.47,0.32,6.88,1.2602,0.5317,6.8898,14.2,64.8,1
48.4,-0.58,1.56,-5.88,0.5459,0.1005,6.0847,24.0,31.8,0
79.26,1.33,-1.54,-1.67,0.7948,0.1382,2.2694,20.6,34.1,0
13.39,2.69,6.77,-7.31,1.5454,0.4776,9.9609,6.0,74.1,2
3.23,9.36,4.4,0.55,1.634,1.2666,4.4365,4.0,83.6,3
15.59,6.65,-15.5,-2.95,1.2561,0.7805,15.7725,5.3,91.6,2
9.29,7.81,3.34,2.94,0.7279,0.6161,4.4486,6.6,74.0,2
13.52,6.25,-2.3,-3.77,1.8369,1.2259,4.4161,7.9,74.3,2
78.22,-0.75,-3.97,-0.54,0.409,0.1704,4.0067,21.4,31.5,0
46.95,0.66,0.6,2.81,0.6593,0.2398,2.8724,17.6,53.8,0
17.37,0.56,-8.05,-1.34,0.4775,0.5897,8.1627,8.8,66.8,1
24.33,1.01,-23.34,-13.0,1.8361,2.0253,26.7137,14.0,55.1,3
5.68,7.16,-8.45,2.06,1.8156,2.4873,8.6978,2.7,83.1,3
65.74,-0.85,1.62,-3.8,0.3063,0.2366,4.1287,24.7,56.0,0
2.23,15.71,2.51,-0.04,1.9933,1.1794,2.5145,3.7,82.2,3
24.7,3.03,4.47,1.0,1.0169,0.6822,4.5838,10.0,60.5,1
57.14,-0.26,1.55,2.29,0.4957,0.1092,2.7651,22.2,42.9,0
30.51,1.11,-0.92,0.4,0.2179,0.0812,1.0081,22.1,55.0,0
5.71,5.52,12.89,13.89,0.8605,2.0315,18.9471,5.9,83.5,3
32.76,0.18,-0.13,-4.8,0.757,0.1438,4.8037,15.4,35.4,0
1.08,20.69,-4.46,-8.01,0.7489,0.904,9.1713,3.0,89.3,3
15.24,3.75,-3.44,0.96,0.6367,0.2776,3.5673,14.7,81.9,1
38.63,1.11,-20.61,-11.71,4.5071,0.9218,23.7002,5.3,53.0,2
20.52,1.36,-3.95,-3.57,1.5063,0.2077,5.3247,17.1,66.5,1
8.15,0.79,22.59,-20.34,0.924,0.7783,30.3983,12.8,52.0,3
34.75,1.07,2.15,0.14,0.1499,0.1375,2.1575,22.9,49.1,0
11.02,2.29,8.87,-7.55,1.0463,0.1574,11.6475,8.5,72.7,1
30.65,-0.04,2.33,-0.48,0.5826,0.1788,2.3798,22.9,60.5,0
50.54,1.01,1.55,-3.67,0.3383,0.1413,3.9859,19.0,50.4,0
66.74,-0.18,3.34,1.89,0.294,0.2378,3.8365,16.4,62.5,0
4.64,11.0,-4.23,-3.71,1.1386,0.3628,5.6252,1.1,91.2,3
52.42,0.23,5.54,2.9,0.4337,0.0535,6.2542,24.8,42.8,0
29.18,-0.59,-1.73,2.82,0.7762,0.185,3.3114,20.5,34.4,0
33.54,0.52,2.53,1.46,0.8011,0.1697,2.9207,15.6,46.7,0
12.78,2.07,-4.8,-1.01,1.2467,0.704,4.9023,14.9,74.5,1
27.8,1.46,3.35,-0.75,1.0571,0.1173,3.4382,21.2,46.6,0
33.85,0.24,3.14,1.0,0.5208,0.0319,3.2957,17.3,34.4,0
5.18,6.7,-1.61,1.79,1.2115,2.2783,2.4081,5.4,94.9,3
35.86,0.48,-4.12,-1.33,0.2389,0.1755,4.3306,15.2,37.6,0
8.7,3.33,2.17,7.14,0.3653,0.9881,7.4613,7.7,91.8,2
7.38,6.96,-9.78,8.91,1.063,0.5822,13.2262,6.3,83.0,2
7.34,6.67,2.26,0.3,2.4151,2.2476,2.2801,5.2,83.7,3
69.72,0.24,-0.69,-1.86,0.2777,0.1922,1.9884,22.0,31.8,0
32.68,1.22,2.39,-2.8,0.3557,0.1151,3.6795,19.9,47.3,0
13.46,6.27,-12.47,-4.04,0.6561,0.7556,13.1049,9.4,91.8,2
8.96,3.58,-2.38,-5.37,1.0252,1.0695,5.8777,5.1,76.4,2
10.73,7.76,-1.24,-3.42,0.8062,0.9285,3.6386,5.1,79.8,2
